Cluster,Plot,ILUA_I,SelectPlot,SoilSample,X_Start,Y_Start,ILUA_I_TRA,Zone,Province,District,CenterX,CenterY
5691.000000,1.000000,1.000000,1.000000,1.000000,176860.000000,8395103.000000,168.000000,UTM-36,Central,Mkushi,177105.000000,8395353.000000
5831.000000,1.000000,0.000000,1.000000,0.000000,176515.000000,8405852.000000,0.000000,UTM-36,Central,Mkushi,176760.000000,8406102.000000
6112.000000,1.000000,0.000000,1.000000,0.000000,187031.000000,8428135.000000,0.000000,UTM-36,Central,Mkushi,187276.000000,8428385.000000
6391.000000,1.000000,1.000000,1.000000,1.000000,176146.000000,8450469.000000,147.000000,UTM-36,Central,Mkushi,176391.000000,8450719.000000
6538.000000,1.000000,0.000000,1.000000,0.000000,251504.000000,8462059.000000,0.000000,UTM-36,Central,Serenje,251749.000000,8462309.000000
6814.000000,1.000000,0.000000,1.000000,0.000000,208004.000000,8483746.000000,0.000000,UTM-36,Central,Serenje,208249.000000,8483996.000000
6952.000000,1.000000,0.000000,1.000000,0.000000,186222.000000,8494567.000000,0.000000,UTM-36,Central,Serenje,186467.000000,8494817.000000
6959.000000,1.000000,0.000000,1.000000,0.000000,262012.000000,8495361.000000,0.000000,UTM-36,Central,Serenje,262257.000000,8495611.000000
7091.000000,1.000000,1.000000,1.000000,1.000000,175456.000000,8505833.000000,126.000000,UTM-36,Central,Serenje,175701.000000,8506083.000000
7096.000000,1.000000,1.000000,1.000000,1.000000,229622.000000,8506441.000000,127.000000,UTM-36,Central,Serenje,229867.000000,8506691.000000
7098.000000,1.000000,0.000000,1.000000,0.000000,251083.000000,8506328.000000,0.000000,UTM-36,Central,Serenje,251328.000000,8506578.000000
7101.000000,1.000000,1.000000,1.000000,1.000000,283770.000000,8506937.000000,128.000000,UTM-36,Central,Serenje,284015.000000,8507187.000000
7237.000000,1.000000,0.000000,1.000000,0.000000,240145.000000,8517292.000000,0.000000,UTM-36,Central,Serenje,240390.000000,8517542.000000
7241.000000,1.000000,0.000000,1.000000,0.000000,283480.000000,8517677.000000,0.000000,UTM-36,Central,Serenje,283725.000000,8517927.000000
7371.000000,1.000000,0.000000,1.000000,0.000000,174987.000000,8527653.000000,0.000000,UTM-36,Central,Serenje,175232.000000,8527903.000000
7378.000000,1.000000,0.000000,1.000000,0.000000,250877.000000,8528462.000000,0.000000,UTM-36,Central,Serenje,251122.000000,8528712.000000
7381.000000,1.000000,0.000000,1.000000,0.000000,283391.000000,8528742.000000,0.000000,UTM-36,Central,Serenje,283636.000000,8528992.000000
7382.000000,1.000000,0.000000,1.000000,0.000000,294227.000000,8528827.000000,0.000000,UTM-36,Central,Serenje,294472.000000,8529077.000000
7384.000000,1.000000,0.000000,1.000000,0.000000,315899.000000,8528984.000000,0.000000,UTM-36,Central,Serenje,316144.000000,8529234.000000
7511.000000,1.000000,0.000000,1.000000,0.000000,174854.000000,8538726.000000,0.000000,UTM-36,Central,Serenje,175099.000000,8538976.000000
7519.000000,1.000000,0.000000,1.000000,0.000000,261618.000000,8539626.000000,0.000000,UTM-36,Central,Serenje,261863.000000,8539876.000000
7663.000000,1.000000,0.000000,1.000000,0.000000,304905.000000,8551035.000000,0.000000,UTM-36,Central,Serenje,305150.000000,8551285.000000
7791.000000,1.000000,1.000000,1.000000,1.000000,174791.000000,8561196.000000,104.000000,UTM-36,Central,Serenje,175036.000000,8561446.000000
7794.000000,1.000000,0.000000,1.000000,0.000000,207160.000000,8561236.000000,0.000000,UTM-36,Central,Serenje,207405.000000,8561486.000000
7796.000000,1.000000,1.000000,1.000000,1.000000,229068.000000,8561782.000000,105.000000,UTM-36,Central,Serenje,229313.000000,8562032.000000
7801.000000,1.000000,1.000000,1.000000,1.000000,283327.000000,8562262.000000,106.000000,UTM-36,Central,Serenje,283572.000000,8562512.000000
8351.000000,1.000000,0.000000,1.000000,1.000000,174077.000000,8605160.000000,0.000000,UTM-36,Central,Serenje,174322.000000,8605410.000000
8354.000000,1.000000,0.000000,1.000000,1.000000,206697.000000,8605514.000000,0.000000,UTM-36,Central,Serenje,206942.000000,8605764.000000
8491.000000,1.000000,1.000000,1.000000,1.000000,174151.000000,8616557.000000,85.000000,UTM-36,Central,Serenje,174396.000000,8616807.000000
8495.000000,1.000000,0.000000,1.000000,0.000000,217460.000000,8616692.000000,0.000000,UTM-36,Central,Serenje,217705.000000,8616942.000000
8496.000000,1.000000,1.000000,1.000000,1.000000,228535.000000,8617122.000000,86.000000,UTM-36,Central,Serenje,228780.000000,8617372.000000
8634.000000,1.000000,0.000000,1.000000,0.000000,206471.000000,8627653.000000,0.000000,UTM-36,Central,Serenje,206716.000000,8627903.000000
6136.000000,1.000000,0.000000,1.000000,0.000000,446101.000000,8430021.000000,0.000000,UTM-36,Eastern,Chadiza,446346.000000,8430271.000000
6416.000000,1.000000,1.000000,1.000000,1.000000,446254.000000,8452466.000000,152.000000,UTM-36,Eastern,Chadiza,446499.000000,8452716.000000
6417.000000,1.000000,0.000000,1.000000,1.000000,456853.000000,8452162.000000,0.000000,UTM-36,Eastern,Chadiza,457098.000000,8452412.000000
6418.000000,1.000000,0.000000,1.000000,0.000000,467652.000000,8452178.000000,0.000000,UTM-36,Eastern,Chadiza,467897.000000,8452428.000000
6419.000000,1.000000,0.000000,1.000000,1.000000,478451.000000,8452189.000000,0.000000,UTM-36,Eastern,Chadiza,478696.000000,8452439.000000
6694.000000,1.000000,0.000000,1.000000,0.000000,424389.000000,8474207.000000,0.000000,UTM-36,Eastern,Chipata,424634.000000,8474457.000000
6832.000000,1.000000,0.000000,1.000000,0.000000,402729.000000,8485195.000000,0.000000,UTM-36,Eastern,Chipata,402974.000000,8485445.000000
6974.000000,1.000000,0.000000,1.000000,0.000000,424325.000000,8496327.000000,0.000000,UTM-36,Eastern,Chipata,424570.000000,8496577.000000
7116.000000,1.000000,1.000000,1.000000,1.000000,446139.000000,8507764.000000,131.000000,UTM-36,Eastern,Chipata,446384.000000,8508014.000000
7258.000000,1.000000,0.000000,1.000000,0.000000,467570.000000,8518534.000000,0.000000,UTM-36,Eastern,Chipata,467815.000000,8518784.000000
7259.000000,1.000000,0.000000,1.000000,0.000000,478396.000000,8518545.000000,0.000000,UTM-36,Eastern,Chipata,478641.000000,8518795.000000
7677.000000,1.000000,0.000000,1.000000,1.000000,456690.000000,8551696.000000,0.000000,UTM-36,Eastern,Chipata,456935.000000,8551946.000000
7678.000000,1.000000,0.000000,1.000000,0.000000,467530.000000,8551711.000000,0.000000,UTM-36,Eastern,Chipata,467775.000000,8551961.000000
5850.000000,1.000000,0.000000,1.000000,0.000000,381462.000000,8407676.000000,0.000000,UTM-36,Eastern,Katete,381707.000000,8407926.000000
6134.000000,1.000000,0.000000,1.000000,0.000000,424520.000000,8429966.000000,0.000000,UTM-36,Eastern,Katete,424765.000000,8430216.000000
6268.000000,1.000000,0.000000,1.000000,0.000000,359712.000000,8440751.000000,0.000000,UTM-36,Eastern,Katete,359957.000000,8441001.000000
6411.000000,1.000000,1.000000,1.000000,1.000000,392254.000000,8452295.000000,151.000000,UTM-36,Eastern,Katete,392499.000000,8452545.000000
7541.000000,1.000000,0.000000,1.000000,0.000000,500050.000000,8540671.000000,0.000000,UTM-36,Eastern,Lundazi,500295.000000,8540921.000000
7680.000000,1.000000,0.000000,1.000000,0.000000,489210.000000,8551728.000000,0.000000,UTM-36,Eastern,Lundazi,489455.000000,8551978.000000
7814.000000,1.000000,0.000000,1.000000,0.000000,424139.000000,8562684.000000,0.000000,UTM-36,Eastern,Lundazi,424384.000000,8562934.000000
7816.000000,1.000000,1.000000,1.000000,1.000000,446028.000000,8563061.000000,109.000000,UTM-36,Eastern,Lundazi,446273.000000,8563311.000000
7818.000000,1.000000,0.000000,1.000000,0.000000,467517.000000,8562770.000000,0.000000,UTM-36,Eastern,Lundazi,467762.000000,8563020.000000
7821.000000,1.000000,1.000000,1.000000,1.000000,500250.000000,8563114.000000,110.000000,UTM-36,Eastern,Lundazi,500495.000000,8563364.000000
7954.000000,1.000000,0.000000,1.000000,0.000000,424109.000000,8573744.000000,0.000000,UTM-36,Eastern,Lundazi,424354.000000,8573994.000000
7957.000000,1.000000,0.000000,1.000000,1.000000,456655.000000,8573814.000000,0.000000,UTM-36,Eastern,Lundazi,456900.000000,8574064.000000
7958.000000,1.000000,0.000000,1.000000,0.000000,467504.000000,8573828.000000,0.000000,UTM-36,Eastern,Lundazi,467749.000000,8574078.000000
7961.000000,1.000000,0.000000,1.000000,0.000000,500050.000000,8573847.000000,0.000000,UTM-36,Eastern,Lundazi,500295.000000,8574097.000000
8094.000000,1.000000,0.000000,1.000000,0.000000,424079.000000,8584803.000000,0.000000,UTM-36,Eastern,Lundazi,424324.000000,8585053.000000
8098.000000,1.000000,0.000000,1.000000,1.000000,467491.000000,8584887.000000,0.000000,UTM-36,Eastern,Lundazi,467736.000000,8585137.000000
8099.000000,1.000000,0.000000,1.000000,1.000000,478344.000000,8584897.000000,0.000000,UTM-36,Eastern,Lundazi,478589.000000,8585147.000000
8234.000000,1.000000,0.000000,1.000000,0.000000,424049.000000,8595862.000000,0.000000,UTM-36,Eastern,Lundazi,424294.000000,8596112.000000
8236.000000,1.000000,0.000000,1.000000,0.000000,445764.000000,8595912.000000,0.000000,UTM-36,Eastern,Lundazi,446009.000000,8596162.000000
8237.000000,1.000000,0.000000,1.000000,0.000000,456621.000000,8595931.000000,0.000000,UTM-36,Eastern,Lundazi,456866.000000,8596181.000000
8377.000000,1.000000,0.000000,1.000000,1.000000,456604.000000,8606990.000000,0.000000,UTM-36,Eastern,Lundazi,456849.000000,8607240.000000
8378.000000,1.000000,0.000000,1.000000,0.000000,467466.000000,8607004.000000,0.000000,UTM-36,Eastern,Lundazi,467711.000000,8607254.000000
8515.000000,1.000000,0.000000,1.000000,0.000000,434856.000000,8618007.000000,0.000000,UTM-36,Eastern,Lundazi,435101.000000,8618257.000000
